PWSID,Supply Name,Population,2021,2022,2023,2024,2025,Total Replaced,Lead Lines,GPCL,Unknown,Total To Replace,Percent Replaced,Non-Lead,Total Lines,Exceedance,Latitude,Longitude,EPA_Link,Status Explanation,Status
MI0040126,CONWAY COMMONS MOBILE HOME PARK,165,,,,,,,,,,,,200,200,,45.4286445,-84.85261467,https://echo.epa.gov/detailed-facility-report?fid=MI0040126&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001610,COOPERSVILLE,"4,519",5,14,33,18,7,77,,8,,8,90.6%,"1,442","1,450",,43.06581766,-85.94084467,https://echo.epa.gov/detailed-facility-report?fid=MI0001610&sys=SDWIS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0001620,COPPER CITY,210,,,,,,,,,,,,125,125,,47.29067368,-88.39101122,https://echo.epa.gov/detailed-facility-report?fid=MI0001620&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001631,COPPER MEADOWS,128,,,,,,,,,,,,51,51,,42.39435496,-83.94992094,https://echo.epa.gov/detailed-facility-report?fid=MI0001631&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0060640,COREWELL HEALTHBERRIEN CNTR,90,,,,,,,,,,,,,,,,,,Inventory not received or data not complete,Inventory not received or incomplete
MI0070017,COREWELLHEALTH GR KALAMAZOO,165,,,,,,,,,,,,1,1,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0001640,"CORUNNA, CITY OF","2,028",2,,,,,2,,,,,100.0%,885,885,,42.98573144,-84.1181542,https://echo.epa.gov/detailed-facility-report?fid=MI0001640&sys=SDWIS,100% replaced,100% replaced
MI0001643,COTTAGE COVE ON ELK LAKE,34,,,,,,,,,,,,29,29,,44.93080398,-85.36942568,https://echo.epa.gov/detailed-facility-report?fid=MI0001643&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0005349,"COTTAGE HS, LLC (PINEVIEW COTTAGE)",40,,,,,,,,,,,,1,1,2022,45.42374504,-84.89729956,https://echo.epa.gov/detailed-facility-report?fid=MI0005349&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001650,COTTRELLVILLE TOWNSHIP,"3,200",,1,1,,,2,,,,,100.0%,798,798,,42.68718786,-82.52141056,https://echo.epa.gov/detailed-facility-report?fid=MI0001650&sys=SDWIS,100% replaced,100% replaced
MI0001655,COUNTRY ACRES HOMEOWNERS ASSOCIATION,180,,,,,,,,,,,,70,70,,41.92265904,-86.39396849,https://echo.epa.gov/detailed-facility-report?fid=MI0001655&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040006,COUNTRY ACRES MOBILE HOME PARK,282,,,,,,,,,90,90,0%,23,113,,42.72438733,-86.12642204,https://echo.epa.gov/detailed-facility-report?fid=MI0040006&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004045,COUNTRY EDEN  L.L.C.,60,,,,,,,,,,,,5,5,,44.75244736,-85.69949375,https://echo.epa.gov/detailed-facility-report?fid=MI0004045&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040591,COUNTRY HILL PINES,174,,,,,,,,,,,,69,69,,43.26421506,-82.64662703,https://echo.epa.gov/detailed-facility-report?fid=MI0040591&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040488,COUNTRY HOLIDAY ESTATES,148,,,,,,,,,,,,46,46,,42.30570306,-85.96686275,https://echo.epa.gov/detailed-facility-report?fid=MI0040488&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001648,COUNTRY LIVING ADULT FOSTER CARE,56,,,,,,,,,,,,2,2,2018,41.84126079,-84.51632075,https://echo.epa.gov/detailed-facility-report?fid=MI0001648&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001653,COUNTRY LOG APTS,35,,,,,,,,,,,,2,2,,46.01499063,-87.54987321,https://echo.epa.gov/detailed-facility-report?fid=MI0001653&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040457,COUNTRY MANOR,87,,,,,,,,,,,,45,45,,42.91149017,-84.02653762,https://echo.epa.gov/detailed-facility-report?fid=MI0040457&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040656,COUNTRY MANOR,190,,,,,,,,,,,,78,78,2024,43.73419574,-85.49682507,https://echo.epa.gov/detailed-facility-report?fid=MI0040656&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040193,COUNTRY MANOR M H P,98,,,,,,,,,,,,41,41,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0040004,COUNTRY MEADOWS,158,,,,,,,,,,,,63,63,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0040220,COUNTRY PLACE,115,,,,,,,,,,,,66,66,,43.65796407,-84.76424907,https://echo.epa.gov/detailed-facility-report?fid=MI0040220&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001649,COUNTRY PLACE SENIOR CARE CENTER,40,,,,,,,,,,,,1,1,,43.72606017,-85.30228818,https://echo.epa.gov/detailed-facility-report?fid=MI0001649&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001657,COUNTRY VIEW MANOR CONDOS,62,,,,,,,,,,,,9,9,2022,42.21310522,-86.27750144,https://echo.epa.gov/detailed-facility-report?fid=MI0001657&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040598,COUNTRY VIEW MOBILE HOME COMMUNITY,55,,,,,,,,,,,,43,43,,41.78716796,-85.82944042,https://echo.epa.gov/detailed-facility-report?fid=MI0040598&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040306,COUNTRY VILLA ESTATES,125,,,,,,,,,58,58,0%,15,73,,42.07243576,-84.08361392,https://echo.epa.gov/detailed-facility-report?fid=MI0040306&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040418,COUNTRY VILLAGE,78,,,,,,,,,,,,32,32,,42.82205714,-85.83498705,https://echo.epa.gov/detailed-facility-report?fid=MI0040418&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001652,COUNTRY VILLAGE APARTMENTS,80,,,,,,,,,,,,41,41,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0040070,COUNTRYSIDE MOBILE COURT,60,,,,,,,,,,,,2,2,,41.81250613,-84.97128676,https://echo.epa.gov/detailed-facility-report?fid=MI0040070&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040450,COUNTRYSIDE VILLAGE,490,,,,,,,,,,,,360,360,,42.80323956,-84.2898191,https://echo.epa.gov/detailed-facility-report?fid=MI0040450&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040649,COVENTRY WOODS MHC,823,,,,,,,,,,,,195,195,2019,42.4355875,-83.80283929,https://echo.epa.gov/detailed-facility-report?fid=MI0040649&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001661,COVERT TOWNSHIP,"1,755",,,,,,,,,,,,826,826,,42.2949131,-86.2614037,https://echo.epa.gov/detailed-facility-report?fid=MI0001661&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040382,CRANBERRY LAKE MHC,820,,,,,,,,,,,,326,326,,42.65906805,-83.47681512,https://echo.epa.gov/detailed-facility-report?fid=MI0040382&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0002274,CREEKSIDE AT FENTON HEIGHTS,48,,,,,,,,,,,,2,2,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0040119,CREEKSIDE MEADOWS OF ST. JOHNS,387,,,,,,,,,,,,210,210,,42.97406443,-84.56466542,https://echo.epa.gov/detailed-facility-report?fid=MI0040119&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040183,CREEKSIDE MHC,70,,,,,,,,,,,,,,,41.95305618,-84.63192236,https://echo.epa.gov/detailed-facility-report?fid=MI0040183&sys=SDWIS,Inventory not received or data not complete,Inventory not received or incomplete
MI0040425,CRICKLEWOOD COURT,155,,,,,,,,,,,,63,63,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0040417,CROCKERY MOBILE HOME PARK,413,,,,,,,,,,,,165,165,,43.09518857,-86.13016637,https://echo.epa.gov/detailed-facility-report?fid=MI0040417&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001664,CROCKERY TOWNSHIP,"1,847",,,,,,,,,508,508,0%,284,792,,43.08150991,-86.07291217,https://echo.epa.gov/detailed-facility-report?fid=MI0001664&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001666,CROOKED RIVER APARTMENTS,32,,,,,,,,,,,,1,1,,45.43355903,-84.79421478,https://echo.epa.gov/detailed-facility-report?fid=MI0001666&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001067,CROSSROADS FOR YOUTH,120,,,,,,,,,,,,4,4,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0001690,"CROSWELL, CITY OF","2,447",,,,9,465,474,5,,,5,99.0%,307,312,,43.27496914,-82.61996391,https://echo.epa.gov/detailed-facility-report?fid=MI0001690&sys=SDWIS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0040357,CRYSTAL DOWNS MOBILE VILLAGE,260,,,,,,,,,,,,104,104,,43.39896041,-86.30699154,https://echo.epa.gov/detailed-facility-report?fid=MI0040357&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001700,CRYSTAL FALLS,"1,922",,,,,,,,38,,38,0%,852,890,,46.09954301,-88.33401053,https://echo.epa.gov/detailed-facility-report?fid=MI0001700&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003880,CRYSTAL FALLS TOWNSHIP  LIND,990,,,,2,1,3,21,,217,238,1.2%,440,678,,46.08515961,-88.41904047,https://echo.epa.gov/detailed-facility-report?fid=MI0003880&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0006630,CRYSTAL FALLS TWP  TOWNLINE,350,,,,2,1,3,21,,217,238,1.2%,440,678,,46.2031089,-88.43833649,https://echo.epa.gov/detailed-facility-report?fid=MI0006630&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001715,CRYSTAL HIGHLANDS SUBDIVISION,50,,,,,,,,,,,,32,32,,44.67342685,-86.15586158,https://echo.epa.gov/detailed-facility-report?fid=MI0001715&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001716,CRYSTAL MOUNTAIN RESORT & SPA,700,,,,,,,,,,,,298,298,,44.50790422,-85.97415526,https://echo.epa.gov/detailed-facility-report?fid=MI0001716&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001694,CRYSTAL RIDGE CONDOMINIUM ASSOCIATION,80,,,,,,,,,,,,40,40,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0061700,CURRY HOUSE ASSISTED LIVING CENTER,76,,,,,,,,,,,,1,1,,44.03699011,-85.68404262,https://echo.epa.gov/detailed-facility-report?fid=MI0061700&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001718,"DANSVILLE, VILLAGE OF",125,,,,,,,,,,,,69,69,,42.55315682,-84.29980943,https://echo.epa.gov/detailed-facility-report?fid=MI0001718&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001720,"DAVISON, CITY OF","5,000",,,,,,,,,,,,"1,738","1,738",,43.03179406,-83.51862373,https://echo.epa.gov/detailed-facility-report?fid=MI0001720&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001730,DEARBORN,"109,976",328,,389,358,556,1631,"7,306",,"2,420","9,726",14.4%,"22,998","32,724",,42.31372265,-83.21663898,https://echo.epa.gov/detailed-facility-report?fid=MI0001730&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001740,DEARBORN HEIGHTS,"57,774",,5,9,,64,78, ,,,,100.0%,,,2020,42.31640299,-83.27687479,https://echo.epa.gov/detailed-facility-report?fid=MI0001740&sys=SDWIS,Inventory not received or data not complete,Inventory not received or incomplete
MI0001750,DECATUR,"1,838",6,5,5,57,19,92,285,178,,463,16.6%,229,692,,42.11015301,-85.97450184,https://echo.epa.gov/detailed-facility-report?fid=MI0001750&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001760,"DECKERVILLE, VILLAGE OF",830,,,,,,,,,,,,408,408,,43.52692886,-82.74104919,https://echo.epa.gov/detailed-facility-report?fid=MI0001760&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001765,DEEPWATER POINTE ASSOCIATION,65,,,,,,,,,,,,13,13,,44.79515368,-85.49594862,https://echo.epa.gov/detailed-facility-report?fid=MI0001765&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001774,DEER PARK CONDOMINIUMS,30,,,,,,,,,,,,5,5,,42.81338661,-83.01291836,https://echo.epa.gov/detailed-facility-report?fid=MI0001774&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001770,DEERFIELD,943,,,,3,2,5,,37,216,253,1.9%,154,407,,41.89214362,-83.77792592,https://echo.epa.gov/detailed-facility-report?fid=MI0001770&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040644,DEERFIELD PINES MOBILE HOME PARK,308,,,,,,,,,,,,123,123,,43.18927741,-83.30507696,https://echo.epa.gov/detailed-facility-report?fid=MI0040644&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001768,DEERFIELD VILLA,72,,,,,,,,,,,,8,8,,44.29421293,-84.63301457,https://echo.epa.gov/detailed-facility-report?fid=MI0001768&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001773,DEERWOOD SUBDIVISION,"1,824",,,,,,,,1,"3,492","3,493",0%,"2,952","6,445",,42.75098381,-83.41601946,https://echo.epa.gov/detailed-facility-report?fid=MI0001773&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001795,DETOUR,325,,,,,,,,,,,,290,290,,45.99335175,-83.90304399,https://echo.epa.gov/detailed-facility-report?fid=MI0001795&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001800,DETROIT CITY OF,"633,218",204,2122,2827,7468,4680,17301,"80,595",120,"39,073","119,788",12.6%,"131,743","251,531",,42.38713682,-83.1077142,https://echo.epa.gov/detailed-facility-report?fid=MI0001800&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001798,DETROIT METROPOLITAN WAYNE CO. AIRPORT,"6,000",,,,,,,,,,,,47,47,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0001810,DEXTER,"4,500",,7,2,1,6,16,,42,328,370,4.1%,"1,492","1,862",,42.33175616,-83.88276255,https://echo.epa.gov/detailed-facility-report?fid=MI0001810&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0063477,DIMONDALE HEALTH CARE CENTER,177,,,,,,,,,,,,108,108,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0040008,DOGWOOD MANOR MOBILE HOME PARK,190,,,,,,,,,,,,76,76,,42.60706774,-86.06623295,https://echo.epa.gov/detailed-facility-report?fid=MI0040008&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001845,DORRLEIGHTON,350,,,,,,,,,,,,232,232,,42.73071013,-85.71523006,https://echo.epa.gov/detailed-facility-report?fid=MI0001845&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001860,DOWAGIAC,"6,350",3,3,6,47,26,85,"1,068",388,,"1,456",5.5%,"1,493","2,949",2024,41.98127476,-86.10617235,https://echo.epa.gov/detailed-facility-report?fid=MI0001860&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001865,DRUMMOND ISLAND APARTMENTS,50,,,,,,,,,,,,2,2,,46.01040514,-83.75443764,https://echo.epa.gov/detailed-facility-report?fid=MI0001865&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001870,"DRYDEN, VILLAGE OF","1,034",,,,,,,,,248,248,0%,79,327,,42.94558943,-83.12399111,https://echo.epa.gov/detailed-facility-report?fid=MI0001870&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040563,DUMONT CREEK ESTATES,188,,,,,,,,,,,,75,75,,42.55887032,-85.88981675,https://echo.epa.gov/detailed-facility-report?fid=MI0040563&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001880,DUNDEE,"5,400",1,2,,6,3,12,5,170,,175,6.4%,"1,726","1,901",,41.9583199,-83.66414684,https://echo.epa.gov/detailed-facility-report?fid=MI0001880&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040045,DUNLOPS ORCHARD PARK,65,,,,,,,,,,,,22,22,,42.49284881,-85.54349292,https://echo.epa.gov/detailed-facility-report?fid=MI0040045&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001905,DUNRENTIN HEIGHTS SUBDIVISION,81,,,,,,,,,,,,29,29,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0001900,"DURAND, CITY OF","3,446",27,6,2,11,12,58,302,3,,305,16.0%,"1,219","1,524",,42.91436035,-83.99236287,https://echo.epa.gov/detailed-facility-report?fid=MI0001900&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040116,DUTCH HILLS,620,,,,,,,,,,,,276,,,42.77857071,-84.4022484,https://echo.epa.gov/detailed-facility-report?fid=MI0040116&sys=SDWIS,Inventory not received or data not complete,Inventory not received or incomplete
MI0001915,DUVERNAY PARK APARTMENTS,68,,,,,,,,,,,,24,24,,44.03848317,-85.68391512,https://echo.epa.gov/detailed-facility-report?fid=MI0001915&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001920,EAGLE HARBOR TOWNSHIP,300,,,,,,,,,,,,145,145,,47.43122469,-88.12400341,https://echo.epa.gov/detailed-facility-report?fid=MI0001920&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001925,EAGLE LAKE CONDOMINIUMS,26,,,,,,,,,16,16,0%,16,,,41.80127547,-85.9924472,https://echo.epa.gov/detailed-facility-report?fid=MI0001925&sys=SDWIS,Inventory not received or data not complete,Inventory not received or incomplete
MI0040103,EAGLE LAKE ESTATES MHP,230,,,,,,,,,,,,92,92,,41.80898615,-86.03207246,https://echo.epa.gov/detailed-facility-report?fid=MI0040103&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0007285,EAGLE POINTE CONDOMINIUMS,90,,,,,,,,,,,,6,6,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0001932,"EAGLE VILLAGE, INC.",84,,,,,,,,,,,,7,7,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0040615,EAGLES LANDING ESTATES,174,,,,,,,,,,,,168,168,,43.26398176,-82.71782965,https://echo.epa.gov/detailed-facility-report?fid=MI0040615&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001935,EAST BAY CHARTER TOWNSHIP,"3,720",,,,,,,,,,,,"1,700","1,700",,44.72745437,-85.54751708,https://echo.epa.gov/detailed-facility-report?fid=MI0001935&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040607,EAST BAY MOBILE HOME PARK,155,,,,,,,,,,,,20,20,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0001960,EAST GRAND RAPIDS,"11,637",65,47,86,180,235,613,375,58,"1,285","1,718",26.3%,"2,201","3,919",,42.9552854,-85.58176872,https://echo.epa.gov/detailed-facility-report?fid=MI0001960&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001970,"EAST JORDAN, CITY OF","2,215",9,,9,,,18,,200,,200,8.3%,861,"1,061",,45.16079896,-85.13007622,https://echo.epa.gov/detailed-facility-report?fid=MI0001970&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001995,EAST LANSING MERIDIAN WATER AUTHORITY,,,,,,,,,,,,,,,,,,,No service lines; wholesale only,No service lines; wholesale only
MI0001990,"EAST LANSING, CITY OF","33,000",38,35,67,30,27,197,105,63,"4,971","5,139",3.7%,"3,228","8,367",,42.74725833,-84.48143804,https://echo.epa.gov/detailed-facility-report?fid=MI0001990&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002010,"EAST TAWAS, CITY OF","2,808",,,,,,,,,,,,"1,395","1,395",,44.28915542,-83.47601938,https://echo.epa.gov/detailed-facility-report?fid=MI0002010&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0002292,EASTERN MICHIGAN NAZARENE DISTRICT CENTE,250,,,,,,, ,,,,,,,,42.70905907,-83.97731743,https://echo.epa.gov/detailed-facility-report?fid=MI0002292&sys=SDWIS,Inventory not received or data not complete,Inventory not received or incomplete
MI0001950,"EASTPOINTE, CITY OF","32,442",182,50,513,1084,158,1987,779,,,779,71.8%,"12,725","13,504",2023,42.46589058,-82.94452315,https://echo.epa.gov/detailed-facility-report?fid=MI0001950&sys=SDWIS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0002025,EATON GREEN ESTATES SUBDIVISION,363,,,,,,,,,,,,147,147,,42.54299851,-84.79259434,https://echo.epa.gov/detailed-facility-report?fid=MI0002025&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0002020,"EATON RAPIDS, CITY OF","5,340",7,6,7,7,6,33,"1,469",,446,"1,915",1.7%,451,"2,366",,42.50693635,-84.65032519,https://echo.epa.gov/detailed-facility-report?fid=MI0002020&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002030,EAU CLAIRE,610,,,,,,,,,,,,262,262,2019,41.98602566,-86.30360483,https://echo.epa.gov/detailed-facility-report?fid=MI0002030&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0002050,ECORSE,"9,512",54,196,166,,142,558,"1,815",3,403,"2,221",20.1%,"1,528","3,749",,42.26063814,-83.15129948,https://echo.epa.gov/detailed-facility-report?fid=MI0002050&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002055,EDGE 72,288,,,,,,,,,,,,5,5,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0040359,EDGEWOOD MOBILE HOME PARK,162,,,,,,,,,,,,46,46,,43.39374583,-86.30254992,https://echo.epa.gov/detailed-facility-report?fid=MI0040359&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0002070,EDMORE,"1,256",1,,,1,,2,1,4,418,423,0.5%,157,580,,43.4048908,-85.04180267,https://echo.epa.gov/detailed-facility-report?fid=MI0002070&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002077,EDWARDSBURG,"1,260",,,,,,,,,,,,556,556,,41.7917824,-86.09074876,https://echo.epa.gov/detailed-facility-report?fid=MI0002077&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040600,EGELCRAFT MOBILE HOME PARK,"1,125",,,,,,,,,,,,455,455,,43.21649689,-86.14352089,https://echo.epa.gov/detailed-facility-report?fid=MI0040600&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0002079,EL RANCHO ALANSON,274,,,,,,,,,,,,139,139,2023,,,," Inventory completed, no lead lines identified ",No lead lines
MI0002080,"ELBERTA, VILLAGE OF",372,,,36,58,1,95,,35,44,79,54.6%,154,233,,44.61979619,-86.23156196,https://echo.epa.gov/detailed-facility-report?fid=MI0002080&sys=SDWIS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0002090,"ELK RAPIDS, VILLAGE OF","1,642",,,,,,,,10,,10,0%,"1,111","1,121",,44.90075491,-85.40225742,https://echo.epa.gov/detailed-facility-report?fid=MI0002090&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002100,"ELKTON, VILLAGE OF",808,,,,,,,,1,,1,0%,375,376,,43.80970885,-83.159951,https://echo.epa.gov/detailed-facility-report?fid=MI0002100&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002110,"ELLSWORTH, VILLAGE OF",349,,,,,,,,,,,,235,235,,45.1678388,-85.24344295,https://echo.epa.gov/detailed-facility-report?fid=MI0002110&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0002115,ELMWOOD TOWNSHIP,255,,,,,,,,,,,,70,70,,44.79551986,-85.64920196,https://echo.epa.gov/detailed-facility-report?fid=MI0002115&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0006625,ELMWOOD TWP  TIMBERLEE,510,,,,,,,,,,,,127,127,,44.82532306,-85.70044325,https://echo.epa.gov/detailed-facility-report?fid=MI0006625&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0002120,"ELSIE, VILLAGE OF",966,,,,,,,,,49,49,0%,383,432,,43.0896197,-84.38950868,https://echo.epa.gov/detailed-facility-report?fid=MI0002120&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001820,ELY TOWNSHIPDIORITE,168,,,,,,,,,,,,67,67,,46.47835764,-87.89962829,https://echo.epa.gov/detailed-facility-report?fid=MI0001820&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0002860,ELY TOWNSHIPGREENWOOD,266,,,,,,,,,,,,109,109,,46.48518934,-87.75666325,https://echo.epa.gov/detailed-facility-report?fid=MI0002860&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0002124,EMERY PINES,50,,,,,,,,,,,,2,2,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0002125,EMMETT TOWNSHIP,"2,550",39,,,,,39,,7,,7,84.8%,907,914,,42.29650688,-85.15530926,https://echo.epa.gov/detailed-facility-report?fid=MI0002125&sys=SDWIS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0002130,"EMPIRE, VILLAGE OF",400,,,,,,,,,92,92,0%,286,378,,44.81437492,-86.05786451,https://echo.epa.gov/detailed-facility-report?fid=MI0002130&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002170,ESCANABA,"13,659",87,240,240,655,701,1923,"3,572",322,,"3,894",33.1%,"1,486","5,380",,45.74500176,-87.07603121,https://echo.epa.gov/detailed-facility-report?fid=MI0002170&sys=SDWIS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0002180,"ESSEXVILLE, CITY OF","3,478",103,65,74,,,242,,,125,125,65.9%,"1,415","1,540",2020,43.61400188,-83.83875357,https://echo.epa.gov/detailed-facility-report?fid=MI0002180&sys=SDWIS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0002190,"EVART, CITY OF","1,742",42,,2,,14,58,156,286,,442,11.6%,232,674,,43.89418915,-85.28916946,https://echo.epa.gov/detailed-facility-report?fid=MI0002190&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040484,EVERGREEN ESTATES,145,,,,,,,,,,,,78,78,,43.46309991,-83.43398164,https://echo.epa.gov/detailed-facility-report?fid=MI0040484&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040206,EVERGREEN MOBILE HOME COMMUNITY,272,,,,,,,,,,,,109,109,,43.01735961,-85.07413681,https://echo.epa.gov/detailed-facility-report?fid=MI0040206&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040250,EVERGREEN PARK,190,,,,,,,,,,,,76,76,,42.37122638,-85.64286489,https://echo.epa.gov/detailed-facility-report?fid=MI0040250&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
