PWSID,Supply Name,Status Explanation,Status Short
MI0001765,DEEPWATER POINTE ASSOCIATION," Inventory completed, no lead lines identified ",
MI0001774,DEER PARK CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0005780,"ROMEO, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040644,DEERFIELD PINES MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0001768,DEERFIELD VILLA," Inventory completed, no lead lines identified ",
MI0002944,HAMLET VILLAGE CONDOMINIUMS ASSOCIATION," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001795,DETOUR," Inventory completed, no lead lines identified ",
MI0040345,RUMBAUGH ESTATES LLC," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001798,DETROIT METROPOLITAN WAYNE CO. AIRPORT," Inventory completed, no lead lines identified ",
MI0005930,SARANAC," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0063477,DIMONDALE HEALTH CARE CENTER," Inventory completed, no lead lines identified ",
MI0040008,DOGWOOD MANOR MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0001845,DORR-LEIGHTON," Inventory completed, no lead lines identified ",
MI0001420,"CLARE, CITY OF",100% replaced,100% replaced
MI0001865,DRUMMOND ISLAND APARTMENTS," Inventory completed, no lead lines identified ",
MI0006025,SHELDON DUNES," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040563,DUMONT CREEK ESTATES," Inventory completed, no lead lines identified ",
MI0002590,SHERMAN TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040045,DUNLOPS ORCHARD PARK," Inventory completed, no lead lines identified ",
MI0001905,DUNRENTIN HEIGHTS SUBDIVISION," Inventory completed, no lead lines identified ",
MI0006080,SOUTH BLOOMFIELD HIGHLANDS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002836,GRATIOT AREA WATER AUTHORITY,No service lines; wholesale only,No service lines; wholesale only
MI0001915,DUVERNAY PARK APARTMENTS," Inventory completed, no lead lines identified ",
MI0001920,EAGLE HARBOR TOWNSHIP," Inventory completed, no lead lines identified ",
MI0000200,HEMATITE TOWNSHIP,Inventory not received or data not complete,Inventory not received or incomplete
MI0040103,EAGLE LAKE ESTATES MHP," Inventory completed, no lead lines identified ",
MI0007285,EAGLE POINTE CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0001932,"EAGLE VILLAGE, INC."," Inventory completed, no lead lines identified ",
MI0040615,EAGLES LANDING ESTATES," Inventory completed, no lead lines identified ",
MI0001935,EAST BAY CHARTER TOWNSHIP," Inventory completed, no lead lines identified ",
MI0040607,EAST BAY MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0004890,SOUTH SHORE WATER SYSTEM," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003726,SOUTHWEST MICHIGAN REGIONAL SANITARY SEW," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040180,HILLSIDE ACRES,Inventory not received or data not complete,Inventory not received or incomplete
MI0040230,SPRING VALLEY ESTATES," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002010,"EAST TAWAS, CITY OF"," Inventory completed, no lead lines identified ",
MI0003563,KAREGNONDI WATER AUTHORITY,No service lines; wholesale only,No service lines; wholesale only
MI0004653,NEGAUNEE/ISHPEMING WATER AUTHORITY,No service lines; wholesale only,No service lines; wholesale only
MI0002025,EATON GREEN ESTATES SUBDIVISION," Inventory completed, no lead lines identified ",
MI0006290,ST IGNACE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0006282,ST. CLAIR TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003350,STAMBAUGH TOWNSHIP-INDIAN LAKE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002055,EDGE 72," Inventory completed, no lead lines identified ",
MI0040359,EDGEWOOD MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0006090,STAMBAUGH TOWNSHIP-WEST BRULE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002077,EDWARDSBURG," Inventory completed, no lead lines identified ",
MI0040600,EGELCRAFT MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0002273,FENTON HARBOR CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0002940,STAMBAUGH TWP - HAGERMAN LAKE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0006385,"STERLING HEIGHTS, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0006485,SUNSET TORCH ASSOCIATION," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002110,"ELLSWORTH, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0002115,ELMWOOD TOWNSHIP," Inventory completed, no lead lines identified ",
MI0006625,ELMWOOD TWP - TIMBERLEE," Inventory completed, no lead lines identified ",
MI0006530,SYLVAN LAKE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001820,ELY TOWNSHIP-DIORITE," Inventory completed, no lead lines identified ",
MI0002860,ELY TOWNSHIP-GREENWOOD," Inventory completed, no lead lines identified ",
MI0002124,EMERY PINES," Inventory completed, no lead lines identified ",
MI0006540,"TAWAS CITY, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0006590,"THOMPSONVILLE, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004640,TILDEN TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0006710,"UBLY, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0006725,UNION TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040484,EVERGREEN ESTATES," Inventory completed, no lead lines identified ",
MI0040206,EVERGREEN MOBILE HOME COMMUNITY," Inventory completed, no lead lines identified ",
MI0040250,EVERGREEN PARK," Inventory completed, no lead lines identified ",
MI0004847,NORTHWEST OTTAWA CO WATER SYST,No service lines; wholesale only,No service lines; wholesale only
MI0002212,FAIRFIELD TOWNSHIP," Inventory completed, no lead lines identified ",
MI0040316,FAIRLANE ESTATES," Inventory completed, no lead lines identified ",
MI0040318,FAIRLAWN MEADOWS," Inventory completed, no lead lines identified ",
MI0002215,FAIRWAY LAKE CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0002240,"FARMINGTON HILLS, CITY OF"," Inventory completed, no lead lines identified ",
MI0004800,UPPER MICHIGAN WATER COMPANY," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0006770,VAN BUREN TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0006070,SHOREWOOD HILLS SUBDIVISION," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040194,HAMLIN MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0005065,OTSEGO TOWNSHIP,Inventory not received or data not complete,Inventory not received or incomplete
MI0040028,VILLAGE EAST ESTATES," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0006850,WALDRON," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002285,FERRYSBURG," Inventory completed, no lead lines identified ",
MI0002287,FIFE LAKE TOWNHOUSES," Inventory completed, no lead lines identified ",
MI0002290,FILER CHARTER TOWNSHIP," Inventory completed, no lead lines identified ",
MI0002291,FILLMORE TOWNSHIP," Inventory completed, no lead lines identified ",
MI0040302,FIRST POINT MOBILE COURT," Inventory completed, no lead lines identified ",
MI0007105,WILDWOOD ON WALLOON ASSOCIATION," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0007130,WINDWARD OWNERS ASSOCIATION," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0007135,"WIXOM, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002347,FONDA LAKE WATER AUTHORITY," Inventory completed, no lead lines identified ",
MI0000090,FORD FORESTRY CENTER," Inventory completed, no lead lines identified ",
MI0007160,WOODBINE SUBDIVISION," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002356,FORESTER TOWNSHIP," Inventory completed, no lead lines identified ",
MI0002360,FORESTVILLE VILLAGE OF," Inventory completed, no lead lines identified ",
MI0007230,"YALE, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002385,FORT GRATIOT TOWNSHIP," Inventory completed, no lead lines identified ",
MI0002390,"FOWLER, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0003440,ISHPEMING," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002403,FOXFIELD APARTMENTS," Inventory completed, no lead lines identified ",
MI0002410,FRANKENLUST TOWNSHIP," Inventory completed, no lead lines identified ",
MI0002425,FRANKENMUTH TOWNSHIP," Inventory completed, no lead lines identified ",
MI0002420,"FRANKENMUTH, CITY OF"," Inventory completed, no lead lines identified ",
MI0004530,MOUNT PLEASANT," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002440,FRANKLIN KNOLLS SUBDIVISION," Inventory completed, no lead lines identified ",
MI0005680,FRANKLIN TOWNSHIP," Inventory completed, no lead lines identified ",
MI0005585,FRANKLIN-QUINCY WATER AUTHORITY," Inventory completed, no lead lines identified ",
MI0002465,FRASER TOWNSHIP," Inventory completed, no lead lines identified ",
MI0007040,WESTLAND," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040438,FREELAND MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0005900,SALINE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004370,"MIDLAND, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002500,FRENCHTOWN TOWNSHIP," Inventory completed, no lead lines identified ",
MI0002507,FRUITPORT TOWNSHIP," Inventory completed, no lead lines identified ",
MI0006110,"SOUTH LYON, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0006284,ST. CLAIR WATER AND SEWER AUTHORITY," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005670,"RICHMOND, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000110,"ALGONAC, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003820,LAWRENCE,100% replaced,100% replaced
MI0002565,GARFIELD CHARTER TOWNSHIP," Inventory completed, no lead lines identified ",
MI0040174,GARFIELD OAKS," Inventory completed, no lead lines identified ",
MI0002568,GARLAND RESORT," Inventory completed, no lead lines identified ",
MI0006420,"STOCKBRIDGE, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000796,GENERAL WHITE APARTMENTS," Inventory completed, no lead lines identified ",
MI0002615,GENESEE COUNTY WATER SYSTEM," Inventory completed, no lead lines identified ",
MI0002617,GENESEE TOWNSHIP," Inventory completed, no lead lines identified ",
MI0002620,GEORGETOWN TOWNSHIP," Inventory completed, no lead lines identified ",
MI0002625,GERMFASK TOWNSHIP," Inventory completed, no lead lines identified ",
MI0003930,LIVONIA," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001170,CARSON CITY," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0062653,GLADWIN NURSING AND REHABILITATION COMMU," Inventory completed, no lead lines identified ",
MI0004880,OAK PARK," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002654,GLEN DEVON CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0002656,GLEN MEADOWS CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0002657,GLEN OAKS COMMUNITY COLLEGE," Inventory completed, no lead lines identified ",
MI0002655,GLENN HAVEN SHORES," Inventory completed, no lead lines identified ",
MI0001250,CASSOPOLIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0006780,"VASSAR, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002680,GOBLES,100% replaced,100% replaced
MI0002685,GOGEBIC RANGE WATER AUTH," Inventory completed, no lead lines identified ",
MI0040476,GOLDEN POND ESTATES," Inventory completed, no lead lines identified ",
MI0002730,GRAND BEACH," Inventory completed, no lead lines identified ",
MI0002740,"GRAND BLANC, CITY OF"," Inventory completed, no lead lines identified ",
MI0040419,GRAND COUNTRY," Inventory completed, no lead lines identified ",
MI0006600,THREE OAKS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0006610,THREE RIVERS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002070,EDMORE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003270,TORCH LAKE TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005490,PORT HURON TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002805,GRAND TRAVERSE CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0002809,GRAND VALLEY ESTATES," Inventory completed, no lead lines identified ",
MI0040069,GRAND VILLAGE MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0000245,ASH TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002823,GRANT," Inventory completed, no lead lines identified ",
MI0001630,GRANT TOWNSHIP - COPPER HARBOR," Inventory completed, no lead lines identified ",
MI0001380,"CHESANING, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040446,PINE TERRACE ESTATES,Inventory not received or data not complete,Inventory not received or incomplete
MI0005785,ROMULUS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002839,GREAT LAKES ADVENTIST ACADEMY," Inventory completed, no lead lines identified ",
MI0040456,QUIET COVE TRAILER PARK,Inventory not received or data not complete,Inventory not received or incomplete
MI0040273,GREEN ACRES MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0005160,RICHMOND TOWNSHIP,Inventory not received or data not complete,Inventory not received or incomplete
MI0002843,GREEN LAKE TOWNSHIP," Inventory completed, no lead lines identified ",
MI0001543,GREEN OAK TWP - CENTENNIAL FARMS," Inventory completed, no lead lines identified ",
MI0040352,GREENBRIER ESTATES," Inventory completed, no lead lines identified ",
MI0002837,GREENFIELD ESTATES," Inventory completed, no lead lines identified ",
MI0002846,GREENFIELD POINTE SUBDIVISION," Inventory completed, no lead lines identified ",
MI0005880,SAGINAW-MIDLAND WATER SUPPLY,No service lines; wholesale only,No service lines; wholesale only
MI0002847,GREENS LAKE APARTMENTS," Inventory completed, no lead lines identified ",
MI0003280,HUDSON," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002845,GREGG APARTMENTS," Inventory completed, no lead lines identified ",
MI0000600,BENTON HARBOR,100% replaced,100% replaced
MI0006920,WATERSMEET TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004110,"MARLETTE, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0006300,"ST. JOHNS, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000680,"BEULAH, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0006975,WEST BLOOMFIELD TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040384,GROVELAND MANOR," Inventory completed, no lead lines identified ",
MI0040046,GUERNSEY LAKE MOBILE HOME COMMUNITY," Inventory completed, no lead lines identified ",
MI0040044,GUN LAKE MOBILE HOME COMMUNITY," Inventory completed, no lead lines identified ",
MI0002926,GUN PLAIN TOWNSHIP," Inventory completed, no lead lines identified ",
MI0040029,GUN RIVER ESTATES WEST," Inventory completed, no lead lines identified ",
MI0040011,GUN RIVER MOBILE ESTATES," Inventory completed, no lead lines identified ",
MI0000580,BELLEVILLE,Inventory not received or data not complete,Inventory not received or incomplete
MI0062942,HALE CREEK MANOR," Inventory completed, no lead lines identified ",
MI0001253,CEDAR HILL ASSISTED LIVING," Inventory completed, no lead lines identified ",
MI0040317,HAMBURG HILLS ESTATES," Inventory completed, no lead lines identified ",
MI0000420,BARODA," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0006760,"UTICA, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001669,LAKESIDE APARTMENTS," Inventory completed, no lead lines identified ",
MI0006970,"WEBBERVILLE, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003370,IONIA," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0006170,SOUTHGATE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002982,HANDY TOWNSHIP - RED CEDARS CROSSING," Inventory completed, no lead lines identified ",
MI0002840,"GRAYLING, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003001,HARBOR COVE APARTMENTS," Inventory completed, no lead lines identified ",
MI0002830,GRASS LAKE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003015,HARBOR SPRINGS AREA AUTHORITY," Inventory completed, no lead lines identified ",
MI0003010,"HARBOR SPRINGS, CITY OF"," Inventory completed, no lead lines identified ",
MI0003880,CRYSTAL FALLS TOWNSHIP - LIND," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003018,HARING CHARTER TOWNSHIP," Inventory completed, no lead lines identified ",
MI0006630,CRYSTAL FALLS TWP - TOWNLINE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003040,HARRISON TOWNSHIP," Inventory completed, no lead lines identified ",
MI0001480,CLINTON TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001360,"CHEBOYGAN, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005480,"PORT HURON, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002920,GROSSE POINTE WOODS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003073,HARTLAND HILLS CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0040654,HARTLAND MEADOWS," Inventory completed, no lead lines identified ",
MI0003075,HARTLAND TOWNSHIP," Inventory completed, no lead lines identified ",
MI0040620,HARTWICK PINES ESTATES," Inventory completed, no lead lines identified ",
MI0003080,HARVEST HILLS SUBDIVISION ASSO," Inventory completed, no lead lines identified ",
MI0006160,SOUTHFIELD," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040343,HAVEN VIEW MOBILE COURT," Inventory completed, no lead lines identified ",
MI0060675,MEADOW WOODS N/R CENTER," Inventory completed, no lead lines identified ",
MI0040680,HEARTHSIDE GROVE MOTOR COACH RESORT," Inventory completed, no lead lines identified ",
MI0005445,LAKEVIEW CHALET CONDOMINIUMS,Inventory not received or data not complete,Inventory not received or incomplete
MI0003115,HEMINGWAY POINTE CLUB OWNERS ASSOCIATION," Inventory completed, no lead lines identified ",
MI0003110,HEMLOCK/RICHLAND TOWNSHIP," Inventory completed, no lead lines identified ",
MI0002292,EASTERN MICHIGAN NAZARENE DISTRICT CENTE,Inventory not received or data not complete,Inventory not received or incomplete
MI0003118,HERITAGE DRIVE APARTMENTS," Inventory completed, no lead lines identified ",
MI0040333,HERITAGE HILLS MOBILE HOME VILLAGE," Inventory completed, no lead lines identified ",
MI0004404,MILLS TOWNSHIP," Inventory completed, no lead lines identified ",
MI0005600,BESSEMER TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040587,HESPERIA MHP LLC," Inventory completed, no lead lines identified ",
MI0000100,ALBION," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040084,HICKORY HILLS," Inventory completed, no lead lines identified ",
MI0040469,HICKORY LANE MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0040682,HIDDEN CREEK ESTATES," Inventory completed, no lead lines identified ",
MI0002838,GREAT LAKES WATER AUTHORITY,No service lines; wholesale only,No service lines; wholesale only
MI0001552,COLONY BAY CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0040386,HIDDEN LAKE ESTATES," Inventory completed, no lead lines identified ",
MI0003137,HIDDEN LAKES OF GREEN OAKS," Inventory completed, no lead lines identified ",
MI0005819,HIDDEN SHORES WEST," Inventory completed, no lead lines identified ",
MI0040208,HIDDEN VALLEY," Inventory completed, no lead lines identified ",
MI0003134,HIGHFIELDS YOUTH CAMP," Inventory completed, no lead lines identified ",
MI0040387,HIGHLAND GREENS ESTATES," Inventory completed, no lead lines identified ",
MI0003138,HIGHLAND HAVEN/WOODSIDE APTS," Inventory completed, no lead lines identified ",
MI0040388,HIGHLAND HILLS OF HIGHLAND MHC," Inventory completed, no lead lines identified ",
MI0003139,HIGHLAND MEADOWVIEW APARTMENTS," Inventory completed, no lead lines identified ",
MI0005349,"COTTAGE HS, LLC (PINEVIEW COTTAGE)"," Inventory completed, no lead lines identified ",
MI0003312,HIGHLAND TOWNSHIP," Inventory completed, no lead lines identified ",
MI0000813,HIGHLANDS AT HARBOR SPRINGS," Inventory completed, no lead lines identified ",
MI0040231,HILLANLAKE VILLAGE,Inventory not received or data not complete,Inventory not received or incomplete
MI0003160,"HILLMAN, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0040057,HILLS HAVEN MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0003020,HARPER WOODS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001770,DEERFIELD," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005395,GREEN BROOK ESTATES,Inventory not received or data not complete,Inventory not received or incomplete
MI0002600,"GAYLORD, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040122,HI-WAY MOBILE HAVEN," Inventory completed, no lead lines identified ",
MI0040344,HOLIDAY TERRACE," Inventory completed, no lead lines identified ",
MI0040335,HOLIDAY VILLAGE MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0004650,NEGAUNEE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003195,HOLLAND TOWNSHIP CONSOLIDATED,100% replaced,100% replaced
MI0040665,HOLLY HILLS MHC," Inventory completed, no lead lines identified ",
MI0003117,HERITAGE APARTMENTS,Inventory not received or data not complete,Inventory not received or incomplete
MI0003215,HOLTON COTTAGES," Inventory completed, no lead lines identified ",
MI0040014,HOMECREST VILLA MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0003131,HIDDEN GLEN APARTMENTS,Inventory not received or data not complete,Inventory not received or incomplete
MI0003223,HOMER TOWNSHIP," Inventory completed, no lead lines identified ",
MI0003225,HOMESTEAD PINES HOMEOWNERS' ASSOCIATION," Inventory completed, no lead lines identified ",
MI0007103,HOMESTEAD/CRYSTAL RIVER WATER CO," Inventory completed, no lead lines identified ",
MI0001657,COUNTRY VIEW MANOR CONDOS," Inventory completed, no lead lines identified ",
MI0006773,HORSELL MANOR," Inventory completed, no lead lines identified ",
MI0003229,HORTON BAY CLUB," Inventory completed, no lead lines identified ",
MI0003230,HOUGHTON," Inventory completed, no lead lines identified ",
MI0003235,HOUGHTON CO MEMORIAL AIRPORT," Inventory completed, no lead lines identified ",
MI0003237,HOUGHTON HEIGHTS MANOR," Inventory completed, no lead lines identified ",
MI0003238,HOUGHTON LAKE TIMBER APTS.," Inventory completed, no lead lines identified ",
MI0001930,HOUGHTON TOWNSHIP," Inventory completed, no lead lines identified ",
MI0006360,STANTON," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003340,"IMLAY CITY, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002020,"EATON RAPIDS, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003290,HUDSONVILLE," Inventory completed, no lead lines identified ",
MI0006270,"ST. CLAIR, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040660,HUNTERS GLEN," Inventory completed, no lead lines identified ",
MI0003310,HUNTINGTON WOODS,100% replaced,100% replaced
MI0005033,HUNTMORE ESTATES," Inventory completed, no lead lines identified ",
MI0040448,HURON BAY RESORT," Inventory completed, no lead lines identified ",
MI0003315,HURON DUNES SUBDIVISION," Inventory completed, no lead lines identified ",
MI0003200,"HOLLY, VILLAGE OF",Inventory not received or data not complete,Inventory not received or incomplete
MI0003220,HOMER,Inventory not received or data not complete,Inventory not received or incomplete
MI0003323,HURON TOWNSHIP," Inventory completed, no lead lines identified ",
MI0005820,"ROSEVILLE, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005240,PENTLAND TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040406,HYLANDER VALLEY," Inventory completed, no lead lines identified ",
MI0040299,IDEAL VILLA MANUFACTURED HOME COMMUNITY," Inventory completed, no lead lines identified ",
MI0007233,IDLEWILD GARDEN HOUSING," Inventory completed, no lead lines identified ",
MI0000690,BEVERLY HILLS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004860,NORWAY," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040015,INDIAN ACRES MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0040108,INDIAN RIVER MHP," Inventory completed, no lead lines identified ",
MI0040233,INDIAN VILLAGE," Inventory completed, no lead lines identified ",
MI0007060,WHITE CLOUD," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003362,INLAND HOUSE CONDOMINIUM ASSOCIATION," Inventory completed, no lead lines identified ",
MI0006680,INTERIOR TOWNSHIP," Inventory completed, no lead lines identified ",
MI0003365,INTERLOCHEN CENTER FOR THE ARTS," Inventory completed, no lead lines identified ",
MI0003000,"HARBOR BEACH, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0007210,WYANDOTTE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004720,NEWBERRY WATER & LIGHT," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003410,IRON RIVER,100% replaced,100% replaced
MI0000550,IRON RIVER TOWNSHIP-BEECHWOOD," Inventory completed, no lead lines identified ",
MI0004610,IRON RIVER TOWNSHIP-NASH," Inventory completed, no lead lines identified ",
MI0005760,IRON RIVER TOWNSHIP-RYDEN ROAD," Inventory completed, no lead lines identified ",
MI0000510,"BEAR LAKE, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004160,"MARYSVILLE, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003250,"HOWELL, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004775,ISHPEMING TWP - EAST," Inventory completed, no lead lines identified ",
MI0006900,"WARREN, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005911,SANDY PINES," Inventory completed, no lead lines identified ",
MI0003452,ISLANDVIEW HOME OWNERS ASSOCIATION," Inventory completed, no lead lines identified ",
MI0000960,BUCHANAN," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003660,"KINGSTON, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003475,JAMES TOWNSHIP," Inventory completed, no lead lines identified ",
MI0003474,JAMESTOWN TOWNSHIP," Inventory completed, no lead lines identified ",
MI0063476,JAMIESON NURSING HOME," Inventory completed, no lead lines identified ",
MI0040016,JOHNSONS MOBILE VILLAGE," Inventory completed, no lead lines identified ",
MI0004050,"MANTON, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003505,JUNIPER HILLS CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0000240,"ARMADA, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
